product_id,content_id,service_code,floor_code,title,date,url,affiliate_url,maker_name,label,series,genre
483kdx1004,483kdx1004,digital,videoa,KUDOKIX 清原りょう,2008-07-31 10:00:42,https://video.dmm.co.jp/av/content/?id=483kdx1004,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D483kdx1004&af_id=okd0405-990&ch=api,,,,スレンダー / 尻フェチ / レズビアン / オナニー / 放尿・お漏らし
h_175ddng010,h_175ddng010,digital,videoa,女体拷問研究所 Vol.10,2008-07-31 10:00:41,https://video.dmm.co.jp/av/content/?id=h_175ddng010,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_175ddng010&af_id=okd0405-990&ch=api,,,,拷問 / 未亡人 / 縛り・緊縛 / 3P・4P / 拘束 / 単体作品
150dvd0385,150dvd0385,digital,videoa,交姦！ヤリコンの宴 中出しスワップ×スワップ,2008-07-31 10:00:40,https://video.dmm.co.jp/av/content/?id=150dvd0385,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D150dvd0385&af_id=okd0405-990&ch=api,,,,中出し / 素人 / その他フェチ / 乱交 / クンニ
h_086jkrd21,h_086jkrd21,digital,videoa,厳選奥さまシリーズ 猛乳Hカップのおばさん 宮田まり,2008-07-31 10:00:39,https://video.dmm.co.jp/av/content/?id=h_086jkrd21,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086jkrd21&af_id=okd0405-990&ch=api,,,,単体作品 / パイズリ / ぽっちゃり / 巨乳 / 人妻・主婦 / 熟女
h_086cent22,h_086cent22,digital,videoa,純和風中出しパイパン熟女 其の弐 大谷みゆき,2008-07-31 10:00:38,https://video.dmm.co.jp/av/content/?id=h_086cent22,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086cent22&af_id=okd0405-990&ch=api,,,,単体作品 / 熟女 / パイパン / 和服・浴衣 / 中出し
13icd30,13icd30,digital,videoa,近親相姦 堕愛の巨乳母 月門ゆか,2008-07-31 10:00:37,https://video.dmm.co.jp/av/content/?id=13icd30,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D13icd30&af_id=okd0405-990&ch=api,,,,単体作品 / 巨乳 / 近親相姦 / 中出し / お母さん
433gun602,433gun602,digital,videoa,乳嬢≪マザーズミルク≫ 詩織,2008-07-31 10:00:36,https://video.dmm.co.jp/av/content/?id=433gun602,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D433gun602&af_id=okd0405-990&ch=api,,,,母乳 / パイズリ / 巨乳 / 巨乳フェチ
172ec041,172ec041,digital,videoa,イカセ鬼フィスト ひとみ アナルとマ○コWファック地獄突き！,2008-07-31 10:00:35,https://video.dmm.co.jp/av/content/?id=172ec041,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D172ec041&af_id=okd0405-990&ch=api,,,,拘束 / フィスト / アナル / 潮吹き / 3P・4P
140m942,140m942,digital,videoa,女子校生 拉致、監禁。 .14 坂下ななえ,2008-07-31 10:00:34,https://video.dmm.co.jp/av/content/?id=140m942,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D140m942&af_id=okd0405-990&ch=api,,,,女子校生 / 辱め / 拘束 / 監禁 / 単体作品
h_158tod131,h_158tod131,digital,videoa,エロス地獄 底なし家族の美味しい関係 2,2008-07-31 10:00:33,https://video.dmm.co.jp/av/content/?id=h_158tod131,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_158tod131&af_id=okd0405-990&ch=api,,,,3P・4P / 近親相姦 / 熟女
150dvd0386sr,150dvd0386sr,digital,videoa,うぶまん,2008-07-31 10:00:31,https://video.dmm.co.jp/av/content/?id=150dvd0386sr,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D150dvd0386sr&af_id=okd0405-990&ch=api,,,,騎乗位 / フェラ / オナニー / 指マン / 電マ
150igmd010sr,150igmd010sr,digital,videoa,4時間レズ曼陀羅,2008-07-31 10:00:30,https://video.dmm.co.jp/av/content/?id=150igmd010sr,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D150igmd010sr&af_id=okd0405-990&ch=api,,,,レズビアン / ローター / シックスナイン / 3P・4P / 指マン
h_086jkrd22,h_086jkrd22,digital,videoa,厳選奥さまシリーズ 美乳大量潮吹きおばさん 水沢由美子,2008-07-31 10:00:29,https://video.dmm.co.jp/av/content/?id=h_086jkrd22,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086jkrd22&af_id=okd0405-990&ch=api,,,,単体作品 / 指マン / 潮吹き / 人妻・主婦 / 熟女 / 美乳
h_086jbpd39,h_086jbpd39,digital,videoa,四十路 巣鴨美人妻 黒木小夜子,2008-07-31 10:00:28,https://video.dmm.co.jp/av/content/?id=h_086jbpd39,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086jbpd39&af_id=okd0405-990&ch=api,,,,単体作品 / 電マ / フェラ / 中出し / 人妻・主婦 / 熟女
h_086cent23,h_086cent23,digital,videoa,四十路五十路のセクシー＆コスプレ婆達 四時間,2008-07-31 10:00:27,https://video.dmm.co.jp/av/content/?id=h_086cent23,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086cent23&af_id=okd0405-990&ch=api,,,,その他フェチ / ぽっちゃり / コスプレ / 熟女
64bsdv257,64bsdv257,digital,videoa,中出し！潮吹き！汁まみれ5時間,2008-07-31 10:00:26,https://video.dmm.co.jp/av/content/?id=64bsdv257,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D64bsdv257&af_id=okd0405-990&ch=api,,,,4時間以上作品 / 指マン / 潮吹き / 中出し
64bsdv258,64bsdv258,digital,videoa,子宮犯,2008-07-31 10:00:25,https://video.dmm.co.jp/av/content/?id=64bsdv258,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D64bsdv258&af_id=okd0405-990&ch=api,,,,
64bsj034,64bsj034,digital,videoa,爆淫！人妻レッドカーペット,2008-07-31 10:00:24,https://video.dmm.co.jp/av/content/?id=64bsj034,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D64bsj034&af_id=okd0405-990&ch=api,,,,3P・4P / 人妻・主婦 / 若妻・幼妻 / 熟女
64bsj035,64bsj035,digital,videoa,加齢なる百合族,2008-07-31 10:00:23,https://video.dmm.co.jp/av/content/?id=64bsj035,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D64bsj035&af_id=okd0405-990&ch=api,,,,レズキス / レズビアン / 熟女
64bsj036,64bsj036,digital,videoa,絶品MEGA熟女4時間,2008-07-31 10:00:22,https://video.dmm.co.jp/av/content/?id=64bsj036,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D64bsj036&af_id=okd0405-990&ch=api,,,,フェラ / 熟女
62cadr233,62cadr233,digital,videoa,ひと妻楽園4時間50人50連発！！,2008-07-31 10:00:21,https://video.dmm.co.jp/av/content/?id=62cadr233,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D62cadr233&af_id=okd0405-990&ch=api,,,,クンニ / 人妻・主婦 / 騎乗位 / フェラ / 指マン
62cadr235,62cadr235,digital,videoa,Boin Boin 「総集編。」 Vol.4,2008-07-31 10:00:20,https://video.dmm.co.jp/av/content/?id=62cadr235,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D62cadr235&af_id=okd0405-990&ch=api,,,,巨乳 / 巨乳フェチ / 素人 / パイズリ / ベスト・総集編
