product_id,content_id,service_code,floor_code,title,date,url,affiliate_url,maker_name,label,series,genre
85sat003,85sat003,digital,videoa,発禁寸前 残酷レ●プ,2003-03-31 10:00:03,https://video.dmm.co.jp/av/content/?id=85sat003,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D85sat003&af_id=okd0405-990&ch=api,,,,ぶっかけ
61mdm023,61mdm023,digital,videoa,かわいなつみ 「ドキドキのピュッ！！」,2003-03-31 10:00:03,https://video.dmm.co.jp/av/content/?id=61mdm023,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D61mdm023&af_id=okd0405-990&ch=api,,,,巨乳 / クラシック / アイドル・芸能人 / 美少女 / 単体作品 / 女優ベスト・総集編
51vs582,51vs582,digital,videoa,背徳の熱き血宴,2003-03-31 10:00:02,https://video.dmm.co.jp/av/content/?id=51vs582,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D51vs582&af_id=okd0405-990&ch=api,,,,SM / 和服・浴衣 / 単体作品
3g9101,3g9101,digital,videoa,3×3=9 合計9人 大乱交,2003-03-31 10:00:02,https://video.dmm.co.jp/av/content/?id=3g9101,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D3g9101&af_id=okd0405-990&ch=api,,,,独占配信 / カーセックス / めがね / ぶっかけ / 顔射 / 乱交 / オナニー / ハメ撮り / バイブ
vpv007,vpv007,digital,videoa,レズ ベスト100 selection,2003-03-31 10:00:01,https://video.dmm.co.jp/av/content/?id=vpv007,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dvpv007&af_id=okd0405-990&ch=api,,,,インディーズ / ベスト・総集編 / 乱交 / レズビアン
56sea179,56sea179,digital,videoa,覗かれて爆乳 藤崎彩花,2003-03-31 10:00:01,https://video.dmm.co.jp/av/content/?id=56sea179,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D56sea179&af_id=okd0405-990&ch=api,,,,単体作品 / 巨乳 / 淫乱・ハード系 / アイドル・芸能人 / 美少女
uke006,uke006,digital,videoa,SEX無しでは生きていけない淫乱づくしのアダルトビデオ,2003-03-31 10:00:00,https://video.dmm.co.jp/av/content/?id=uke006,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Duke006&af_id=okd0405-990&ch=api,,,,インディーズ / ベスト・総集編 / 顔射 / その他フェチ / 近親相姦 / 素人 / スレンダー
jso001,jso001,digital,videoa,特大お徳用 乳製品 清水あいか,2003-03-31 10:00:00,https://video.dmm.co.jp/av/content/?id=jso001,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Djso001&af_id=okd0405-990&ch=api,,,,インディーズ / 巨乳フェチ / 巨乳 / 単体作品
53ka1225,53ka1225,digital,videoa,フラッシュバック 日向まこ 杉森久美子,2003-03-31 10:00:00,https://video.dmm.co.jp/av/content/?id=53ka1225,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D53ka1225&af_id=okd0405-990&ch=api,,,,女子校生 / セーラー服
53ks8495,53ks8495,digital,videoa,月刊ナイスボディ 01,2003-03-30 10:00:03,https://video.dmm.co.jp/av/content/?id=53ks8495,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D53ks8495&af_id=okd0405-990&ch=api,,,,巨乳 / 水着 / 企画
