product_id,content_id,service_code,floor_code,title,date,url,affiliate_url,maker_name,label,series,genre
h_967asw00119,h_967asw00119,digital,videoa,ごっくん志願！7 ななは誰の精子でも飲みます 宇佐美なな,2016-03-31 10:00:48,https://video.dmm.co.jp/av/content/?id=h_967asw00119,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_967asw00119&af_id=okd0405-990&ch=api,,,,ごっくん / フェラ / 美少女 / 潮吹き / 単体作品
h_967asw00048,h_967asw00048,digital,videoa,あ～やらしい！ 7 圧巻の爆飲みザーメン娘登場！ 国見奈々,2016-03-31 10:00:47,https://video.dmm.co.jp/av/content/?id=h_967asw00048,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_967asw00048&af_id=okd0405-990&ch=api,,,,単体作品 / ごっくん / 企画 / フェラ / その他フェチ
h_967asw00045,h_967asw00045,digital,videoa,あ～やらしい！ 6 爆乳口淫女の口内汁射精 中森玲子,2016-03-31 10:00:46,https://video.dmm.co.jp/av/content/?id=h_967asw00045,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_967asw00045&af_id=okd0405-990&ch=api,,,,単体作品 / フェラ / ランジェリー / ごっくん
h_967asw00054,h_967asw00054,digital,videoa,あ～やらしい！10 隣のお姉さんはザーメンマニア 君嶋みゆ,2016-03-31 10:00:45,https://video.dmm.co.jp/av/content/?id=h_967asw00054,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_967asw00054&af_id=okd0405-990&ch=api,,,,単体作品 / ボディコン / ごっくん / ぶっかけ / フェラ / OL
h_848wob00068,h_848wob00068,digital,videoa,若妻の交尾 第六十八巻,2016-03-31 10:00:44,https://video.dmm.co.jp/av/content/?id=h_848wob00068,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_848wob00068&af_id=okd0405-990&ch=api,,,,若妻・幼妻 / 人妻・主婦 / 潮吹き / 和服・浴衣 / 素人
h_086fera00068,h_086fera00068,digital,videoa,美堂んちのおばちゃんが勝負下着でこっそり僕を誘惑してきた 美堂かなえ,2016-03-31 10:00:43,https://video.dmm.co.jp/av/content/?id=h_086fera00068,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086fera00068&af_id=okd0405-990&ch=api,,,,ハイビジョン / 単体作品 / 淫乱・ハード系 / 中出し / ランジェリー / 熟女
h_086jrzd00624,h_086jrzd00624,digital,videoa,初撮り人妻ドキュメント 天川聖奈,2016-03-31 10:00:42,https://video.dmm.co.jp/av/content/?id=h_086jrzd00624,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086jrzd00624&af_id=okd0405-990&ch=api,,,,ハイビジョン / 単体作品 / 美乳 / 熟女 / ドキュメンタリー / 人妻・主婦
h_086jrzd00623,h_086jrzd00623,digital,videoa,初撮り人妻ドキュメント 吉原ゆりか,2016-03-31 10:00:41,https://video.dmm.co.jp/av/content/?id=h_086jrzd00623,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086jrzd00623&af_id=okd0405-990&ch=api,,,,人妻・主婦 / ドキュメンタリー / 熟女 / 単体作品 / ハイビジョン
h_086matu00086,h_086matu00086,digital,videoa,教育ママ 息子のチ○ポは私のいき甲斐 中山香苗,2016-03-31 10:00:40,https://video.dmm.co.jp/av/content/?id=h_086matu00086,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086matu00086&af_id=okd0405-990&ch=api,,,,ハイビジョン / 単体作品 / 近親相姦 / お母さん / 熟女
h_848whs00005,h_848whs00005,digital,videoa,淫妻美尻交尾 神崎美穂,2016-03-31 10:00:39,https://video.dmm.co.jp/av/content/?id=h_848whs00005,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_848whs00005&af_id=okd0405-990&ch=api,,,,単体作品 / 指マン / 尻フェチ / 人妻・主婦
h_086nuka00016,h_086nuka00016,digital,videoa,欲求不満の母と絶倫息子 抜かずの三発中出し 矢吹京子,2016-03-31 10:00:38,https://video.dmm.co.jp/av/content/?id=h_086nuka00016,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086nuka00016&af_id=okd0405-990&ch=api,,,,ハイビジョン / 単体作品 / 中出し / 近親相姦 / お母さん / 熟女
h_897pvt00007,h_897pvt00007,digital,videoa,エッチなお姉様の挑発食い込みパンチラ,2016-03-31 10:00:37,https://video.dmm.co.jp/av/content/?id=h_897pvt00007,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_897pvt00007&af_id=okd0405-990&ch=api,,,,お姉さん / パンチラ / 局部アップ / 尻フェチ / オナニー / ハイビジョン
h_125ts00132,h_125ts00132,digital,videoa,人妻ナンパ連れ込み 即ハメ中出しセックスリアルガチ！12人4時間,2016-03-31 10:00:36,https://video.dmm.co.jp/av/content/?id=h_125ts00132,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_125ts00132&af_id=okd0405-990&ch=api,,,,即ハメ / 中出し / 人妻・主婦 / ナンパ
h_086iro00016,h_086iro00016,digital,videoa,人妻痴●電車～さわられた五十路母～ 近藤郁美,2016-03-31 10:00:35,https://video.dmm.co.jp/av/content/?id=h_086iro00016,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_086iro00016&af_id=okd0405-990&ch=api,,,,ハイビジョン / 単体作品 / 熟女 / 人妻・主婦
h_125ts00130,h_125ts00130,digital,videoa,日本列島〒番号ダーツの旅 田舎娘をハメよう！！ マジ中出し デラックス 5時間 16人,2016-03-31 10:00:34,https://video.dmm.co.jp/av/content/?id=h_125ts00130,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_125ts00130&af_id=okd0405-990&ch=api,,,,中出し / 4時間以上作品 / 素人
h_346rebdb00145,h_346rebdb00145,digital,videoa,Misa Fカップの純粋な好奇心 涼海みさ,2016-03-31 10:00:33,https://video.dmm.co.jp/av/content/?id=h_346rebdb00145,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_346rebdb00145&af_id=okd0405-990&ch=api,,,,巨乳 / 美少女 / イメージビデオ / アイドル・芸能人 / 単体作品 / ハイビジョン
165pas00150,165pas00150,digital,videoa,エステレズビアン！ぬるぬるオイルまみれ！6組の熟女と熟女の同性愛！ 2,2016-03-31 10:00:32,https://video.dmm.co.jp/av/content/?id=165pas00150,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D165pas00150&af_id=okd0405-990&ch=api,,,,バイブ / マッサージ・リフレ / エステ / 熟女 / レズビアン
165mgs00138,165mgs00138,digital,videoa,ガチナンパ！！14人！ ザーメン中出し デラックス 7 4時間,2016-03-31 10:00:31,https://video.dmm.co.jp/av/content/?id=165mgs00138,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D165mgs00138&af_id=okd0405-990&ch=api,,,,人妻・主婦 / 中出し / ナンパ
165sd01603,165sd01603,digital,videoa,悶絶団地妻！欲情を我慢できずにセックスに溺れる淫乱熟女！,2016-03-31 10:00:30,https://video.dmm.co.jp/av/content/?id=165sd01603,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D165sd01603&af_id=okd0405-990&ch=api,,,,騎乗位 / 不倫 / 熟女
165mgs00139,165mgs00139,digital,videoa,不倫人妻セックス報告書！4時間 若妻・三十路妻10人！秘密の昼下がり！,2016-03-31 10:00:29,https://video.dmm.co.jp/av/content/?id=165mgs00139,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3D165mgs00139&af_id=okd0405-990&ch=api,,,,若妻・幼妻 / 不倫 / 人妻・主婦
h_125ts00131,h_125ts00131,digital,videoa,人妻どすけべ劇場 4時間 旦那とご無沙汰で…あぁチ●ポが欲しい人妻の巻,2016-03-31 10:00:28,https://video.dmm.co.jp/av/content/?id=h_125ts00131,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_125ts00131&af_id=okd0405-990&ch=api,,,,人妻・主婦 / 熟女 / ドキュメンタリー / 巨乳 / ナンパ
h_254wnxg00062,h_254wnxg00062,digital,videoa,何処まで口説ける！？店で見つけたムラっとくる働くお姉さん32名収録8時間スペシャル！！,2016-03-31 10:00:27,https://video.dmm.co.jp/av/content/?id=h_254wnxg00062,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_254wnxg00062&af_id=okd0405-990&ch=api,,,,素人 / 職業色々 / お姉さん / その他フェチ / 4時間以上作品
h_967asw00097,h_967asw00097,digital,videoa,あ～やらしい！30 私、口を開けたまま飲むんです！,2016-03-31 10:00:26,https://video.dmm.co.jp/av/content/?id=h_967asw00097,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dh_967asw00097&af_id=okd0405-990&ch=api,,,,単体作品 / ごっくん / フェラ / 3P・4P
