product_id,content_id,service_code,floor_code,title,date,url,affiliate_url,maker_name,label,series,genre
zz058,zz058,digital,videoa,僕の好きなあの体位させて下さい70人,2002-06-30 10:00:00,https://video.dmm.co.jp/av/content/?id=zz058,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dzz058&af_id=okd0405-990&ch=api,,,,インディーズ / 企画 / ギャル / 素人 / その他フェチ / ナンパ / 学生服 / セーラー服 / 女子校生
usa032,usa032,digital,videoa,黒人集団レ●プ32,2002-06-30 10:00:00,https://video.dmm.co.jp/av/content/?id=usa032,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dusa032&af_id=okd0405-990&ch=api,,,,インディーズ / バイブ / 3P・4P / 黒人男優
ipb005,ipb005,digital,videoa,◆究極こだわりビデオ◆SM中出し120分（2）,2002-06-30 10:00:00,https://video.dmm.co.jp/av/content/?id=ipb005,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dipb005&af_id=okd0405-990&ch=api,,,,インディーズ / ベスト・総集編 / ごっくん / 中出し / おもちゃ / バイブ / SM / 縛り・緊縛 / ボンテージ / ランジェリー / 学生服 / セーラー服 / 女子校生
tqt002,tqt002,digital,videoa,特選 奥菜千春,2002-06-29 10:00:00,https://video.dmm.co.jp/av/content/?id=tqt002,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dtqt002&af_id=okd0405-990&ch=api,,,,ベスト・総集編 / 単体作品 / バイブ / ローター / 顔射 / 中出し / レズビアン / 学生服 / コスプレ / OL / 女子校生
red154,red154,digital,videoa,カメラ目線でフェラして下さい。32人,2002-06-29 10:00:00,https://video.dmm.co.jp/av/content/?id=red154,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dred154&af_id=okd0405-990&ch=api,,,,独占配信 / インディーズ / フェラ / シックスナイン / その他フェチ / 3P・4P / 企画 / ナンパ / ギャル
cwv002,cwv002,digital,videoa,コスプレ シンドローム 絶対ハメたいあの職業！2,2002-06-29 10:00:00,https://video.dmm.co.jp/av/content/?id=cwv002,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dcwv002&af_id=okd0405-990&ch=api,,,,インディーズ / ベスト・総集編 / バイブ / 手コキ / ランジェリー / チャイナドレス / セーラー服 / 学生服 / 和服・浴衣 / レースクィーン / 女子校生 / スチュワーデス / OL / コスプレ
riw001,riw001,digital,videoa,もっとしたい 十代編,2002-06-28 10:00:00,https://video.dmm.co.jp/av/content/?id=riw001,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Driw001&af_id=okd0405-990&ch=api,,,,インディーズ / ベスト・総集編 / 乱交 / 女子校生
qrk016,qrk016,digital,videoa,神聖レズビアン OL編 夏川亜弓.桜田由加里,2002-06-28 10:00:00,https://video.dmm.co.jp/av/content/?id=qrk016,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dqrk016&af_id=okd0405-990&ch=api,,,,バイブ / レズビアン / インディーズ / OL / おもちゃ
jb034,jb034,digital,videoa,蛇縛のチャイナ症候群,2002-06-28 10:00:00,https://video.dmm.co.jp/av/content/?id=jb034,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Djb034&af_id=okd0405-990&ch=api,,,,チャイナドレス / 縛り・緊縛 / SM / バイブ / アナル / 独占配信 / 単体作品
ewx004,ewx004,digital,videoa,空中脱糞 島塚薫,2002-06-28 10:00:00,https://video.dmm.co.jp/av/content/?id=ewx004,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dewx004&af_id=okd0405-990&ch=api,,,,アナル / 3P・4P / 脱糞 / スカトロ / 局部アップ / 中出し / インディーズ / 単体作品 / おもちゃ
tbp007,tbp007,digital,videoa,3Pでやらせてよ～ズコーンと 中出し付 47人,2002-06-27 10:00:00,https://video.dmm.co.jp/av/content/?id=tbp007,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dtbp007&af_id=okd0405-990&ch=api,,,,インディーズ / ベスト・総集編 / 手コキ / 縛り・緊縛 / アナル / 3P・4P / 体操着・ブルマ
fbm002,fbm002,digital,videoa,秘蔵VTR2 バイブ＆フェラチオ 15人,2002-06-27 10:00:00,https://video.dmm.co.jp/av/content/?id=fbm002,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dfbm002&af_id=okd0405-990&ch=api,,,,インディーズ / フェラ / ベスト・総集編 / パイズリ / バイブ / オナニー / ぶっかけ / ごっくん / ローター
ttq004,ttq004,digital,videoa,奥様訪問記 永澤その子33才,2002-06-26 10:00:00,https://video.dmm.co.jp/av/content/?id=ttq004,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dttq004&af_id=okd0405-990&ch=api,,,,インディーズ / ごっくん / 人妻・主婦 / 単体作品
