product_id,content_id,service_code,floor_code,title,date,url,affiliate_url,maker_name,label,series,genre
supd00096,supd00096,digital,videoa,DIGITAL CHANNEL DC96 織田真子,2012-08-31 10:01:00,https://video.dmm.co.jp/av/content/?id=supd00096,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dsupd00096&af_id=okd0405-990&ch=api,,,,単体作品 / 顔射 / ハメ撮り / デジモ / 独占配信 / ハイビジョン
midd00900,midd00900,digital,videoa,ナチュラルスタイル悠梨◆ 香月悠梨,2012-08-31 10:00:59,https://video.dmm.co.jp/av/content/?id=midd00900,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dmidd00900&af_id=okd0405-990&ch=api,,,,ハイビジョン / 独占配信 / デジモ / 顔射 / 羞恥 / 美少女 / 単体作品
miad00575,miad00575,digital,videoa,日焼けあと ゆな,2012-08-31 10:00:57,https://video.dmm.co.jp/av/content/?id=miad00575,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dmiad00575&af_id=okd0405-990&ch=api,,,,水着 / その他フェチ / ギャル / ハメ撮り / 企画 / デジモ / 独占配信 / ハイビジョン
idbd00385,idbd00385,digital,videoa,希崎ジェシカ 100SEX 24時間,2012-08-31 10:00:56,https://video.dmm.co.jp/av/content/?id=idbd00385,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Didbd00385&af_id=okd0405-990&ch=api,,,,単体作品 / 独占配信 / 女優ベスト・総集編 / デジモ / 16時間以上作品
mimk00009,mimk00009,digital,videoa,クリムゾン×ムーディーズ コラボ作品 女潜入捜査官マリア 大橋未久,2012-08-31 10:00:55,https://video.dmm.co.jp/av/content/?id=mimk00009,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dmimk00009&af_id=okd0405-990&ch=api,,,,単体作品 / 中出し / 辱め / 女捜査官 / デジモ / 独占配信 / ハイビジョン
alb00176,alb00176,digital,videoa,元RQのワケあり若奥様 『夫の名前を呼ばせて中出し！』 近藤沙紀子,2012-08-31 10:00:54,https://video.dmm.co.jp/av/content/?id=alb00176,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dalb00176&af_id=okd0405-990&ch=api,,,,ハイビジョン / 人妻・主婦 / 中出し / 巨乳 / 淫乱・ハード系 / 電マ / 独占配信
mird00114,mird00114,digital,videoa,JULIA SPECIAL,2012-08-31 10:00:53,https://video.dmm.co.jp/av/content/?id=mird00114,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dmird00114&af_id=okd0405-990&ch=api,,,,単体作品 / パイズリ / 巨乳 / スレンダー / 独占配信 / ハイビジョン
iptd00949,iptd00949,digital,videoa,アタッカーズ全面監修 夫の目の前で犯●れて 冬月かえで,2012-08-31 10:00:52,https://video.dmm.co.jp/av/content/?id=iptd00949,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Diptd00949&af_id=okd0405-990&ch=api,,,,単体作品 / 人妻・主婦 / 寝取り・寝取られ・NTR / デジモ / 独占配信 / ハイビジョン
iptd00942,iptd00942,digital,videoa,佳苗るかとヴァーチャルデート,2012-08-31 10:00:51,https://video.dmm.co.jp/av/content/?id=iptd00942,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Diptd00942&af_id=okd0405-990&ch=api,,,,ハイビジョン / 独占配信 / デジモ / ローター / 電マ / カーセックス / 単体作品
iptd00946,iptd00946,digital,videoa,秘密女捜査官～獄に堕ちた美巨乳エージェント～ KAORI,2012-08-31 10:00:50,https://video.dmm.co.jp/av/content/?id=iptd00946,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Diptd00946&af_id=okd0405-990&ch=api,,,,ハイビジョン / 独占配信 / デジモ / 巨乳 / 美乳 / 女捜査官 / 単体作品
midd00901,midd00901,digital,videoa,初めての旅行 現役女子大生が1泊2日セックス猛特訓！！ 大島里奈,2012-08-31 10:00:48,https://video.dmm.co.jp/av/content/?id=midd00901,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dmidd00901&af_id=okd0405-990&ch=api,,,,単体作品 / 女子大生 / 羞恥 / 美少女 / 野外・露出 / デジモ / 独占配信 / ハイビジョン
iptd00943,iptd00943,digital,videoa,僕とエミリの甘～い性活 丘咲エミリ,2012-08-31 10:00:47,https://video.dmm.co.jp/av/content/?id=iptd00943,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Diptd00943&af_id=okd0405-990&ch=api,,,,ハイビジョン / 独占配信 / デジモ / ローター / 電マ / 主観 / 単体作品
miad00578,miad00578,digital,videoa,かわいい乃亜ちゃん。,2012-08-31 10:00:46,https://video.dmm.co.jp/av/content/?id=miad00578,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dmiad00578&af_id=okd0405-990&ch=api,,,,単体作品 / ハイビジョン / 独占配信 / 企画 / スレンダー / 痴女 / 美少女 / 主観 / デジモ
migd00470,migd00470,digital,videoa,人妻アナル課長 澤村レイコ,2012-08-31 10:00:45,https://video.dmm.co.jp/av/content/?id=migd00470,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dmigd00470&af_id=okd0405-990&ch=api,,,,拘束 / 人妻・主婦 / 単体作品 / アナル / 羞恥 / 長身 / デジモ / 独占配信 / ハイビジョン
iptd00944,iptd00944,digital,videoa,いきなりSEX えっ？今ここでですか？ 桜ここみ,2012-08-31 10:00:44,https://video.dmm.co.jp/av/content/?id=iptd00944,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Diptd00944&af_id=okd0405-990&ch=api,,,,ハイビジョン / 独占配信 / デジモ / 3P・4P / 巨乳 / 単体作品
iptd00948,iptd00948,digital,videoa,キレイなビーチでSEXしようよ！ 初音みのり,2012-08-31 10:00:43,https://video.dmm.co.jp/av/content/?id=iptd00948,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Diptd00948&af_id=okd0405-990&ch=api,,,,ハイビジョン / 独占配信 / 野外・露出 / 単体作品 / デジモ
mmnd00076,mmnd00076,digital,videoa,『AV無理』 上原怜奈,2012-08-31 10:00:42,https://video.dmm.co.jp/av/content/?id=mmnd00076,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dmmnd00076&af_id=okd0405-990&ch=api,,,,ハイビジョン / 独占配信 / 単体作品 / 拘束 / 巨乳フェチ / 巨乳 / イメージビデオ
